TICKER,PRICE,CUR_RATIO,CUR_RATIO_AV,CUR_RATIO_CMP_TO_AV,PRICE_TO_BOOK,EARNING_GROWTH_YOY,EARNING_GROWTH_AV,EARNING_GROWTH_CMP_TO_AV,ALTMAN_ZSCORE,DIVIDEND_YIELD
HRS, 141.99, 1.2432885906040267, 1.7551770710472063, -0.5118884804431796, 4.846236127191627, 0.13009404388714735, 0.865492363107537, -0.7353983192203897, 1.178589963931028, 0.019799999999999998
HIG, 46.47, 1.0415991067239219, 0.67182882825369, 0.3697702784702319, 0.15433856108473798, -1.4274061990212072, -2.461484495902262, 1.0340782968810547, 0.12584693236512418, 0.026000000000000002
HAS, 88.66, 2.9031994164721975, 2.4097226297781607, 0.49347678669403683, 11.817528978549097, -0.2561075567709711, -1.284857395745291, 1.0287498389743197, 2.137667903776231, 0.0285
HCA, 133.76, 1.6201688860019487, 1.8228053676220715, -0.2026364816201227, -8.221870404095611, -0.20075757575757575, 0.9115575461595714, -1.1123151219171472, 1.9687552245665092, 0.0104
HCP, 29.9, 3.1352873528735286, 1.744506466205138, 1.3907808866683906, 6.2739036011957, 0.12952099441164602, 1.2385254587221353, -1.1090044643104893, 0.3604152185663957, 0.0496
HP, 53.31, 2.9577005472362448, 3.586878057987427, -0.6291775107511821, 1.3713228782379434, 4.855767501153578, -2.4129647103227025, 7.268732211476281, 0.6727277559439491, 0.053
HSY, 108.19, 0.9640590153924095, 0.9697543064072078, -0.005695291014798376, 18.164692199176596, 0.050681625011804836, 1.4459209274156983, -1.3952393024038936, 2.450883662653772, 0.0268
HES, 51.93, 2.5285420944558523, 1.4580300433734539, 1.0705120510823984, 1.6750233628681892, 0.3513824884792627, -6.594835842598889, 6.946218331078152, -0.22576553430642646, 0.019299999999999998
HPE, 14.66, 1.0043028259099895, 1.5005950354721882, -0.49629220956219866, 1.1244747690524002, 3.614678899082569, 0.9490173575982045, 2.6656615414843645, 0.6758738169521206, 0.0315
HLT, 72.72, 0.8994565217391305, 0.38440904300669604, 0.5150474787324344, 9.540786103708395, 159.0, -30.567345252264708, 189.56734525226472, 0.6625369483055465, 0.0083
HFC, 55.42, 2.152812590057004, nan, nan, 1.0010873547562082, 5.615161433920763, 0.9209168235423406, 4.694244610378423, 1.927037139113242, 0.024
HD, 177.49, 1.1691367173027047, 1.112511480344474, 0.05662523695823074, 115.22097842908961, 0.08457961543295212, 1.0995158018968834, -1.0149361864639312, 3.701951138411094, 0.0236
HON, 140.96, 1.378611950585865, 1.833216326000679, -0.45460437541481413, 3.9633318324506206, -0.6496079240610813, 0.23586350543664966, -0.8854714294977309, 1.265708542240561, 0.023399999999999997
HRL, 43.9, 1.8000481160122714, 0.9697543064072078, 0.8302938096050636, 4.264030124742485, 0.19534696489092826, 1.4459209274156983, -1.25057396252477, 1.9551883196061695, 0.0194
HST, 17.48, 4.376760563380282, 4.392226148409894, -0.01546558502961215, 1.1798775802596395, -0.2594033722438392, 0.7405966277561609, -1.0, 0.8394832936502625, 0.045599999999999995
HPQ, 21.62, 0.8510206517846485, 1.5005950354721882, -0.6495743836875397, -55.28660579701796, 1.108867775138559, 0.9490173575982045, 0.15985041754035445, 2.1874043059189807, 0.0302
HUM, 294.31, 1.8500956836062088, 1.1430793327046855, 0.7070163509015233, 6.7599692089488, 2.986970684039088, 1.7314515521814609, 1.255519131857627, 2.8807180651141837, 0.0069
HBAN, 13.51, 0.04211156801087344, 0.06355056123466608, -0.02143899322379264, 1.169437612589369, 0.6657303370786517, 1.3262294481086685, -0.6604991110300168, -0.9023966163263036, 0.04190000000000001
HII, 199.56, 1.578001437814522, 1.7551770710472063, -0.17717563323268437, 3.5122961472314516, -0.16404886561954624, 0.865492363107537, -1.029541228727083, 1.8666917867838309, 0.0175
ITW, 134.98, 2.3838847035702586, 1.757005753757813, 0.6268789498124456, 8.98770277032929, -0.171007371007371, 0.9646786498338017, -1.1356860208411728, 1.9665504798133093, 0.0301
IR, 95.0, 1.2674192212096107, 1.757005753757813, -0.4895865325482023, 2.8723423594767667, -0.08364159473900534, 0.9646786498338017, -1.048320244572807, 1.2843851123421697, 0.0226
INTC, 48.96, 1.6933585902072212, 3.9100322019355396, -2.2166736117283183, 2.128331329054318, -0.06930981000387747, 0.635822419945212, -0.7051322299490895, 1.2303151515064137, 0.0248
ICE, 75.5, 0.988757822451127, 1.2925681303930194, -0.30381030794189245, 2.5424291485704553, 0.7543133195307108, 2.701540823086532, -1.947227503555821, 0.19900717159637088, 0.0128
IBM, 123.3, 1.3311297272702942, 1.532995464085175, -0.20186573681488085, 6.455155483373093, -0.5153606598771148, -3.102856223199346, 2.587495563322231, 1.1278902404326923, 0.051399999999999994
IP, 45.5, 1.6223049784398276, nan, nan, 1.9383807917113987, 1.6375, 0.8790507093857187, 0.7584492906142812, 1.0220975379892927, 0.0444
IPG, 22.18, 0.9721158604881353, 0.9531998135049271, 0.018916046983208146, 3.63571888075365, -0.05928853754940711, 0.9484980268858403, -1.0077865644352475, 0.9198413166369991, 0.037599999999999995
IFF, 139.05, 2.466991341991342, 1.851588995265958, 0.615402346725384, 6.849682844523671, -0.2700188380642469, 1.2487415294801019, -1.5187603675443488, 1.5847849239530984, 0.0215
INTU, 212.84, 1.1361058601134215, 2.732413250697459, -1.5963073905840375, 23.075691176062445, 0.24716786817713698, 0.8378191519597188, -0.5906512837825818, 2.511728235988607, 0.0089
IVZ, 18.79, 10.642228923231562, 3.7042987746103333, 6.937930148621229, 0.8329910901925954, 0.33709547391454564, 1.2249034760529998, -0.8878080021384541, 0.9376979222307356, 0.065
IRM, 35.68, 1.466211537897702, 1.1805296464673631, 0.28568189143033895, 3.559572715356055, 0.8456199460916443, 1.336934660024726, -0.4913147139330818, 0.6655267041883102, 0.069
JKHY, 130.75, 0.960319412333776, inf, -inf, 7.667708365192403, 0.5324276932215319, 1.5519058347009649, -1.019478141479433, 1.6380906874684387, 0.011399999999999999
JEC, 61.81, 1.4485151602524469, 1.6820194959252943, -0.23350433567284745, 1.5387591447149813, -0.3975050021748586, 1.2449822740365917, -1.6424872762114502, 1.5159718581681842, 0.011200000000000002
JBHT, 105.56, 1.111386270397856, 1.452228359679078, -0.34084208928122184, 5.551602177884031, -0.28659274942696894, 1.5882408757434794, -1.8748336251704483, 2.3057274288246408, 0.0096
SJM, 104.86, 1.5041594118785064, 0.9697543064072078, 0.5344051054712986, 1.5101312864684895, 1.2600033766672294, 1.4459209274156983, -0.18591755074846894, 0.9173768555501418, 0.0326
JNJ, 128.2, 1.4110095949176409, 2.2538307538356617, -0.8428211589180208, 4.868680589313092, -0.9214026602176542, 1.2168703415351632, -2.1382730017528173, 1.0089433781661095, 0.0279
JCI, 32.55, 1.0509333333333333, 2.4624523102639033, -1.41151897693057, 1.4887301123015835, 0.2860226659471128, 1.2744743456225605, -0.9884516796754477, 0.9721813726132598, 0.0322
